user_id,image_paths,user_claim,claim_object,evidence_standard_met,evidence_standard_met_reason,risk_flags,issue_type,object_part,claim_status,claim_status_justification,supporting_image_ids,valid_image,severity
user_011,images/sample/case_011/img_1.jpg,"Customer: I spilled water near my laptop while working. | Support: What part was affected? | Customer: It went over the keys and left a stain. Some keys feel sticky now. | Support: Is the display damaged too? | Customer: No, this is about the keyboard area only.",laptop,true,The image clearly shows the laptop keyboard area with visible water droplets and wetness consistent with a spill.,none,water_damage,keyboard,supported,The image shows clear evidence of water on the keyboard area consistent with the claim of water spill and resulting sticky keys.,img_1,true,medium
user_012,images/sample/case_012/img_1.jpg;images/sample/case_012/img_2.jpg,"Customer: My laptop bag fell from a chair and hit the floor. | Support: What damage did you notice? | Customer: One corner of the laptop has a dent now. | Support: Does the laptop still work? | Customer: It works, but the outer corner is damaged. I added two photos.",laptop,true,The images clearly show the laptop and the dent on the corner.,user_history_risk,dent,corner,supported,"The dent on the laptop corner is clearly visible in the close-up image, supporting the customer's claim.",img_1;img_2,true,low
user_018,images/sample/case_013/img_1.jpg,"Customer: I am not sure if this should be a repair claim or a replacement claim, so I wanted to ask first. | Support: We can help. What device is this about? | Customer: It is my laptop. I carry it every day, and yesterday my bag got pressed between two seats during travel. At first I thought the laptop was okay because it still opened. | Support: What changed after that? | Customer: Later, while using it, I noticed marks on the display area. I restarted it twice because I thought it might just be something on the screen, but it still bothered me. | Support: Are you reporting keyboard, hinge, body, or screen damage? | Customer: Not the keyboard or hinge. The issue I want checked is the screen. It looks shattered to me, so I am submitting this as screen damage.",laptop,true,The image clearly shows the laptop screen with visible spiderweb cracks and shattered glass patterns.,none,glass_shatter,screen,supported,The image clearly supports the claim of screen damage with visible shattered glass and cracks.,img_1,true,medium
user_020,images/sample/case_014/img_1.jpg,Customer: The laptop trackpad has stopped working properly. | Support: Did anything happen before it stopped working? | Customer: The front area hit the desk edge when I moved it. | Support: Are you reporting internal function or physical damage? | Customer: Physical damage around the trackpad area. I attached the photo for review.,laptop,true,The image clearly shows the laptop trackpad area with visible surface scratches within the circled region.,user_history_risk;manual_review_required,scratch,trackpad,supported,The visible scratches on the trackpad support the claim of physical damage in the trackpad area.,img_1,true,low
user_015,images/sample/case_015/img_1.jpg,Customer: My delivery box arrived damaged. | Support: What part of the package was affected? | Customer: One corner was crushed in when I received it. | Support: Is the item inside part of this claim? | Customer: Not right now. I am reporting the package corner damage.,package,true,The image clearly shows the package corner with visible crushing damage.,user_history_risk,crushed_packaging,package_corner,supported,The image shows clear physical damage consistent with the claimed crushed package corner.,img_1,true,medium
user_030,images/sample/case_016/img_1.jpg;images/sample/case_016/img_2.jpg,"Customer: Package receive hua toh opened jaisa lag raha tha. | Support: Tape broken tha ya box crush hua tha? | Customer: Seal wali side phati hui thi, jaise parcel khola gaya ho. | Support: Kya andar ka item missing hai? | Customer: Abhi item missing claim nahi kar raha, sirf torn packaging review karwana hai.",package,true,Image img_1 clearly shows the torn seal side of the package with visible damage and material discontinuity,none,torn_packaging,seal,supported,The torn seal visible in img_1 supports the customer's claim of the package appearing opened with a torn seal side.,img_1,true,medium
user_031,images/sample/case_017/img_1.jpg,"Customer: I received a package that looks water damaged. | Support: Was the item inside wet too? | Customer: I have not opened everything yet, but the outside has a wet-looking stain. | Support: So the claim is about the package condition? | Customer: Yes, the package surface looked damaged when it arrived.",package,true,The image clearly shows the package side with visible water stains and damage.,user_history_risk;manual_review_required,water_damage,package_side,supported,"The image shows clear water staining and deformation on the package side, supporting the claim of water damage.",img_1,true,medium
user_032,images/sample/case_018/img_1.jpg;images/sample/case_018/img_2.jpg,Customer: The item I ordered was not inside the box. | Support: Did the package look opened when you received it? | Customer: I checked it after delivery and could not find the product inside. | Support: What are you asking us to verify? | Customer: Please verify that the contents are missing from the package.,package,true,Image 1 shows the opened package interior clearly enough to assess the absence of the item inside.,manual_review_required,none,box,supported,"The opened package interior shows no item inside, supporting the claim of missing contents.",img_1,true,none
user_033,images/sample/case_019/img_1.jpg,Customer: The shipping box arrived in bad condition. | Support: What kind of condition issue are you reporting? | Customer: It looked badly crushed when it was delivered. | Support: Is the claim about the outside box or the product inside? | Customer: The outside box. I want the crushed box reviewed.,package,true,The image clearly shows the exterior of the box with visible crushing and denting on the packaging.,user_history_risk,crushed_packaging,box,supported,The image shows clear physical crushing damage to the box exterior consistent with the claim.,img_1,true,medium
user_034,images/sample/case_020/img_1.jpg;images/sample/case_020/img_2.jpg,Customer: My delivery box arrived opened. | Support: Was the package crushed or was the seal affected? | Customer: The seal area looked torn when I received it. | Support: Are you asking us to review the package condition or the item inside? | Customer: The package condition. I want the torn-open package reviewed.,package,true,Image 1 clearly shows a torn and damaged seal area on the package.,user_history_risk,torn_packaging,seal,supported,Image 1 shows clear torn packaging seal damage consistent with the claim; Image 2 shows an intact seal but does not contradict the claim.,img_1,true,medium
